id;text;author;category
;Sostengo que la imaginacion primaria es el poder de a vida.;Samuel Taylor Coleridge;Intro
;Al hombre se le pide que haga de si mismo aquello en lo que se supone que ha de convertirse para cumplir con su destino.;Paul Tillich;Intro
;"Yo por mi mismo no hago nada; es el Espiritu Santo el que lo consigue todo a traves de mi. ";William Blake;Intro
;¿Y por que Dios tiene que ser un sustantivo? ¿Por qué no un verbo… el mas activo y dinamico de todos?;Mary Daly;Intro
;En el proceso de hacer lo que esta haciendo, uno tropezara con lo qu no podia hacer por uno mismo.;Robert Motherwell;Intro
;La posicion del artista es humilde. En esencia no es mas que un canal.;Piet Mondrian;Intro
;Dios debe convertise en una actividad en nuestra conciencia.;Joel S. Goldsmith;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
;;;Intro
